노선명,노선번호,시도명,시군구명,도로구간-기점,도로구간-종점,도로구간-기점(위도),도로구간-기점(경도),도로구간-종점(위도),도로구간-종점(경도),주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
금오산로3L-13,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-14,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-15,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-16,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-17,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-18,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-19,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-20,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-21,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-22,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-23,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-24,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-25,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-26,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-27,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.05,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로3L-28,,경상북도,구미시,경상북도 구미시 남통동 414-29,경상북도 구미시 원평동 964-241,36.123086,128.323427,36.126605,128.336781,,0.04,,4.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-1,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-2,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-3,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-4,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-5,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-6,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-7,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4R-8,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129986,128.338823,,0.04,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-1,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-2,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-3,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-4,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-5,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-6,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-7,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오산로4L-8,,경상북도,구미시,경상북도 구미시 원평동 964-241,경상북도 구미시 원평동 330-8,36.126605,128.336781,36.129921,128.338897,,0.04,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1R-1,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125401,128.340241,36.127905,128.342369,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1R-2,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125401,128.340241,36.127905,128.342369,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1R-3,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125401,128.340241,36.127905,128.342369,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1R-4,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125401,128.340241,36.127905,128.342369,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1R-5,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125401,128.340241,36.127905,128.342369,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1R-6,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125401,128.340241,36.127905,128.342369,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1R-7,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125401,128.340241,36.127905,128.342369,,0.03,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1L-1,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125327,128.340379,36.127825,128.342524,,0.05,,1.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1L-2,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125327,128.340379,36.127825,128.342524,,0.05,,1.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1L-3,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125327,128.340379,36.127825,128.342524,,0.05,,1.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1L-4,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125327,128.340379,36.127825,128.342524,,0.05,,1.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1L-5,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125327,128.340379,36.127825,128.342524,,0.05,,1.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1L-6,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125327,128.340379,36.127825,128.342524,,0.05,,1.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
금오시장로1L-7,,경상북도,구미시,경상북도 구미시 원평동 1029-13,경상북도 구미시 원평동 330-8,36.125327,128.340379,36.127825,128.342524,,0.03,,1.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-1,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-2,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-3,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-4,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-5,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-6,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-7,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-8,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-9,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-10,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-11,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1R-12,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118065,128.342553,36.123005,128.342818,,0.01,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
송원서로1L-1,,경상북도,구미시,경상북도 구미시 송정동 49,경상북도 구미시 송정동 1-81,36.118021,128.342776,36.123005,128.342818,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-28,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-29,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-30,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-31,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-32,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-33,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-34,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-35,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로L1-36,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-1,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-2,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-3,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-4,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-5,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-6,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-7,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-8,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-9,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-10,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-11,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-12,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-13,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-14,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-15,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-16,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-17,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-18,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
산호대로43길3L-2,,경상북도,구미시,경상북도 구미시 산동읍 봉산리 389-1,경상북도 구미시 산동읍 봉산리 389,36.139723,128.439705,36.139718,128.443669,,0.05,,1.1,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-19,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-20,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-21,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-22,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-23,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-24,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-25,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-26,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-27,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-28,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-29,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-30,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-31,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-32,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-33,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-34,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
수출대로R1-35,,경상북도,구미시,경상북도 구미시 광평동 808-4,경상북도 구미시 공단동 174,36.110803,128.365041,36.110911,128.385206,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
