auser_ntrs_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,pltc_dgnt_cont,ecnm_dgnt_cont,sct_dgnt_cont,lilhd_dgnt_cont,wrld_dgnt_cont,it_dgnt_cont,sprt_dgnt_cont,tv_etmn_dgnt_cont,main_ntrs_cd,info_obtn_site_url,info_obtn_site_subjc_nm
D***10,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,전남,순천시,조례동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/video.nhn?id=552742,네이버 스포츠
D***92,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,서울,영등포구,당산동5가,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/video.nhn?id=577719,네이버 스포츠
D***29,201903**,M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,제주,서귀포시,서귀동,,LG,KT,,,,,,,스포츠,,사회,https://m.sports.naver.com/video.nhn?id=552253,네이버 스포츠
D***88,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,광진구,중곡동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?oid=023&aid=0003436892&sid1=102&mode=LSD,[박종인의 땅의 ... :: 네이버 뉴스
D***47,201903**,M,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,인천,남동구,만수6동,,삼성,KT,,,,,,,스포츠,,사회,https://m.sports.naver.com/column/columnRead.nhn?expertId=1205&columnId=88794822,[더 타임즈] 왜 흑인 심판은 없는가? : 네이버스포츠
D***58,201903**,M,4,,,      ,          ,,서울,강남구,역삼1동,,,,,,사회,,,,,,스포츠,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004122849,"경찰, 황하나 10... :: 네이버 뉴스"
D***35,201903**,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,창원시 의창구,북면,"중형차 (쏘나타, K5, 말리부, 골프급 등)",LG,SKT,,,사회,,,,,,스포츠,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004117965,남양유업 외손녀 ... :: 네이버 뉴스
D***25,201903**,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당2동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",애플,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/277/0004494659,21살 여대생 지... :: 네이버 뉴스
D***07,201903**,M,4,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,아니오,          ,오피스텔,서울,양천구,신정4동,,LG,LG U+,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=468&aid=0000537029,"엔팍에 흩날리는 굵은 빗방울, 올스타전 개최 불투명 :: 네이버스포츠"
D***53,201903**,M,5,무직,100만원 미만,아니오,          ,아파트/ 주상복합,경기,군포시,산본동,,애플,KT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003536455,[영상] 음란물 유... :: 네이버 뉴스
D***01,201903**,M,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,오피스텔,충남,천안시 서북구,백석동,,삼성,LG U+,,,사회,,,,,,사회,https://n.news.naver.com/article/023/0003458942,국민연금 타는 사... :: 네이버 뉴스
D***30,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,부개3동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",,,,,사회,,,,,,경제,https://n.news.naver.com/article/052/0001283682,[현장24] 무단침... :: 네이버 뉴스
D***64,201903**,M,3,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,대전,중구,선화동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,KT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?aid=0009447400&oid=003&sid1=102,박근혜 석방 확신했는데… 분주했던 서울구치소 안팎
D***24,201903**,F,2,"전문직 (의사, 판검사, 예술가, 종교인)",600~699만원,아니오,          ,아파트/ 주상복합,경기,고양시 일산서구,대화동,,애플,LG U+,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?oid=214&aid=0000938633&sid1=102&mode=LSD,몸도 마음도 고통... :: 네이버 뉴스
D***88,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,아파트/ 주상복합,경기,의왕시,삼동,,삼성,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/079/0003222579,박근혜 친필 휘... :: 네이버 뉴스
D***,201903**,F,5,,,      ,          ,,대구,달서구,용산2동,,,,,,사회,,,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=005&aid=0001260645&sid1=&ntype=RANKING,"최민수 “아까도 사고 났지만 이해하고 끝났다, 이게 상식”"
D***,201903**,M,4,기타 ,200~299만원,아니오,          ,아파트/ 주상복합,서울,성북구,삼선동3가,,삼성,SKT,,경제,,,,,,,스포츠,https://m.news.naver.com/rankingRead.nhn?oid=008&aid=0004316226&sid1=101&ntype=RANKING,"양파거지 때문에…코스트코, 공짜 양파 없앴다"
D***,201903**,M,2,,,      ,          ,,경북,고령군,다산면,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?oid=008&aid=0004282534&sid1=102&mode=LSD,국대떡볶이 대표 막말 시끌… 불매운동 vs 인기↑
D***,201903**,M,3,,,      ,          ,,대전,유성구,전민동,,,,정치,,,,,,,,사회,https://n.news.naver.com/article/009/0004438903,"[국감현장] 병무청장 유승준, 현재 국민정서로는 입국하지 않아야"
D***,201903**,M,5,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,용인시 수지구,신봉동,"대형차 (제너시스, BMW5급 등)",삼성,SKT,,경제,,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008140833,"400년된 떡집, 천... :: 네이버 뉴스"
D***,201903**,M,4,,,      ,          ,,경기,수원시 장안구,정자2동,,,,,,사회,,,,,,사회,https://m.news.naver.com/memoRankingRead.nhn?oid=277&aid=0004564409&sid1=102&date=2019110114&ntype=MEMORANKING,"민경욱, 文 겨냥 母, 출세한 아들이 모시고 살 수 있지 않았나 비아냥"
D***,201903**,M,4,,,      ,          ,,경기,수원시 장안구,정자2동,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=109&aid=0004064376,"밤 경기 퇴근→13시간→낮 경기, 끝내기 ‘LAD의 달콤 스윕’ [오!쎈 현장] :: 네이버스포츠"
D***,201903**,F,5,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,양천구,신정1동,,삼성,KT,,,사회,,,,,,사회,https://m.news.naver.com/memoRankingRead.nhn?oid=025&aid=0002955304&sid1=102&date=2019112512&ntype=MEMORANKING,"[단독] 손흥민 父의 분노 계약서 쓴 적 없다, 배신감에 참담"
D***,201903**,F,5,,,      ,          ,,광주,북구,중흥동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/056/0010698360?ntype=RANKING,임신부터 고난 시... :: 네이버 뉴스
D***3,201903**,F,2,,,      ,          ,,서울,중랑구,묵2동,,,,,경제,,,,,,,경제,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=311&aid=0001058175,고투 부산 진출 ㄷㅅㄱㅈㅈ 퀴즈…정답 공개(캐시슬라이드)
D***3,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 원미구,중동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,KT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/basketball/news/read.nhn?oid=065&aid=0000187366,"KCC에서 메이스와 재회한 그들, “굉장히 반갑다” :: 네이버스포츠"
D***5,201903**,M,3,,,      ,          ,,부산,연제구,연산5동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kfootball/news/read.nhn?oid=117&aid=0003233947,"성희롱 발언 감스트, K리그 홍보대사 잠정 중단...연맹 활동 어렵다 :: 네이버스포츠"
D***7,201903**,F,5,,,      ,          ,,광주,북구,문흥1동,,,,,,,,세계,,,,사회,https://n.news.naver.com/article/025/0002904814,러 여객기 사망자... :: 네이버 뉴스
D***6,201903**,M,5,"교직 (교사, 유치원교사, 학원강사)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,전남,순천시,용당동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",삼성,KT,정치,,,,,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=001&aid=0011227209&sid1=&ntype=RANKING,BTS 병역이행 현행대로…연예인 未포함 대체복무제 유지
D***3,201903**,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,아니오,          ,단독주택,인천,중구,신흥동3가,,애플,KT,,,,생활,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&sid1=103&oid=001&aid=0011113970,오리·달·백조·쥐 이어 이번엔 석촌호수에 끈적괴물
D***8,201903**,M,4,,,      ,          ,,서울,도봉구,쌍문3동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/002/0002097019,서울 밤 하늘을 ... :: 네이버 뉴스
D***6,201903**,M,4,,,      ,          ,,광주,서구,치평동,,,,,,,,,,,TV연예,사회,https://m.entertain.naver.com/tvBrand/10222586/broadcastInfo/memberCard,TV [꽃길만 걸어요] - 방송정보 :: 네이버 TV연예
D***3,201903**,F,2,,,      ,          ,,서울,노원구,공릉동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kfootball/news/read.nhn?oid=020&aid=0003231736,호날두 내한…환호하는 축구팬에 ‘엄지척’ 팬서비스 :: 네이버스포츠
D***2,201903**,M,4,,,      ,          ,,서울,강동구,상일동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/014/0004221367?ntype=RANKING,‘알몸 소화기 난... :: 네이버 뉴스
D***2,201903**,M,4,,,      ,          ,,서울,강동구,상일동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/001/0010742081,"30명 고립, 폭... :: 네이버 뉴스"
D***4,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",800~899만원,아니오,          ,아파트/ 주상복합,서울,성북구,안암동5가,,애플,SKT,,,,,,,,TV연예,사회,https://m.entertain.naver.com/ranking/read?oid=421&aid=0004020876&rankingType=default&rankingDate=20190602,"런닝맨 유재석 이광수, 조인성·김우빈 여행 기사에 안 나와 :: 네이버 TV연예"
D***4,201903**,F,3,,,      ,          ,,경기,남양주시,호평동,,,,,경제,,,,,,,경제,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002520846,에듀윌 9급공무원... :: 네이버 뉴스
D***6,201903**,M,5,,,      ,          ,,서울,강서구,방화3동,,,,,,,,,IT,,,사회,https://n.news.naver.com/article/020/0003216172?ntype=RANKING,암 전문가 “20년... :: 네이버 뉴스
D***3,201903**,M,3,,,      ,          ,,서울,구로구,오류1동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/025/0002903979?ntype=RANKING,의붓딸 살해 부... :: 네이버 뉴스
D***6,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,중구,대흥동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,KT,정치,,,,,,,,정치,https://n.news.naver.com/article/421/0003986309,부시 전 美 대통... :: 네이버 뉴스
D***8,201903**,M,4,,,      ,          ,,서울,용산구,동빙고동,,,,,,,,,,,TV연예,사회,https://m.entertain.naver.com/entertain?id=845613&imgId=50577915&host=https://m.entertain.naver.com&listUrl=http://m.naver.com#main/50577915,행사장 속 스타 :: 네이버 TV연예
D***8,201903**,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,남양주시,오남읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,SKT,,,,생활,,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=020&aid=0003252350&sid1=103&ntype=RANKING,나이 들수록 운동 강도 줄여야? 건강한 노년 즐기고 싶다면… [양종구 기자의 100세 시대 건강법]
D***8,201903**,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,남양주시,오남읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,SKT,,,,,,,,TV연예,사회,https://m.entertain.naver.com/ranking#/defaultRanking/default/20190819/30,많이 본 뉴스 :: 네이버 TV연예
D***7,201903**,F,2,,,      ,          ,,충남,예산군,예산읍,,,,정치,,,,,,,,정치,https://n.news.naver.com/article/011/0003535496?ntype=RANKING,文 “특권·반칙... :: 네이버 뉴스
D***8,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,안양시 동안구,관양동,,,SKT,,,,생활,,,,,생활,https://m.news.naver.com/memoRankingRead.nhn?oid=018&aid=0004343996&sid1=103&date=20190402&ntype=MEMORANKING,"나영석 PD 연봉, ... :: 네이버 뉴스"
D***2,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,관악구,청림동,,삼성,LG U+,,,,,,,스포츠,,사회,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=144&aid=0000635931,"캐치볼로 몸 푼 류현진, NL 챔피언십 1차전 준비? :: 네이버스포츠"
D***2,201903**,M,4,기타 ,200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,군포시,재궁동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,SKT,,,사회,,,,,,사회,https://m.news.naver.com/memoRankingRead.nhn?oid=025&aid=0002952448&sid1=102&date=2019111318&ntype=MEMORANKING,정경심 공범 적시된 조국 딸···입학취소 없다 또 말바꾼 고대
D***2,201903**,M,4,,,      ,          ,,경기,광주시,오포읍,,,,정치,,,,,,,,경제,https://n.news.naver.com/article/421/0003977217,"한선교, 사무처 ... :: 네이버 뉴스"
D***9,201903**,M,3,,,      ,          ,,경북,칠곡군,석적읍,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/kfootball/news/read.nhn?oid=413&aid=0000084257,"[K리그2 ISSUE] 주세종-황인범 이어 오세훈까지...아산, 대표팀 홍보효과에 함박웃음 :: 네이버스포츠"
D***9,201903**,M,3,,,      ,          ,,경북,칠곡군,석적읍,,,,,,,,,,,TV연예,사회,https://m.entertain.naver.com/read?oid=112&aid=0003171583,"♥조쉬 국가비, 탄탄한 수영복 자태..뒤가 예쁜데 민망하네 :: 네이버 TV연예"
D***3,201903**,F,4,,,      ,          ,,경남,창원시 의창구,서상동,,,,,,사회,,,,,,사회,https://m.news.naver.com/shareRankingRead.nhn?oid=052&aid=0001371674&sid1=001&rc=N,네이버 뉴스
D***3,201903**,F,2,,,      ,          ,,서울,송파구,잠실본동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=422&aid=0000397486,돼지열병 심각한데…아산서 고병원성 의심 AI 검출
D***7,201903**,M,4,,,      ,          ,,인천,서구,당하동,,,,,,,생활,,,,,생활,https://m.news.naver.com/rankingRead.nhn?oid=082&aid=0000958383&sid1=103&ntype=RANKING,"이경규 마장면, 오늘(16일)부터 CU 편의점서 출시…어떤 맛?"
D***3,201903**,F,2,"판매직 (상점점원, 보험설계사, 노점상)",100만원 미만,아니오,          ,오피스텔,전남,여수시,교동,,애플,SKT,,,사회,,,,,,경제,https://m.news.naver.com/shareRankingRead.nhn?oid=015&aid=0004243609&sid1=001&rc=N,네이버 뉴스
D***4,201903**,F,5,,,      ,          ,,경기,성남시 분당구,이매동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?aid=0003474925&oid=023&sid1=102,태풍 ‘타파’ 역대급 강수·강풍 몰고오나...최대 600㎜ 폭우
D***3,201903**,M,3,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,남구,대명9동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",LG,KT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?oid=052&aid=0001275872&sid1=102&mode=LSD,도심 아파트까지 ... :: 네이버 뉴스
D***6,201903**,M,5,,,      ,          ,,경기,부천시 원미구,상동,,,,,,사회,,,,,,사회,https://m.news.naver.com/memoRankingRead.nhn?oid=005&aid=0001187319&sid1=102&date=2019040422&ntype=MEMORANKING,“미화원 월급 백... :: 네이버 뉴스
D***3,201903**,M,4,,,      ,          ,,서울,중랑구,중화동,,,,,,,,,,스포츠,,스포츠,"https://m.sports.naver.com/comment/list.nhn?objectId=news413,0000087532&sort=LIKE","[오피셜] 영입 한달 만에 말라가, 오카자키 신지와 계약 해지 :: 네이버스포츠"
D***5,201903**,M,3,,,      ,          ,,경기,안성시,중리동,,,,,,,,,,,TV연예,TV연예,https://m.entertain.naver.com/ranking/read?oid=108&aid=0002787923&rankingType=default&rankingDate=20190604,"바람이분다 김하늘, 코 특수분장에 시청자 설왕설래 :: 네이버 TV연예"
D***2,201903**,M,2,,,      ,          ,,부산,부산진구,초읍동,,,,,,사회,,,,,,사회,https://m.news.naver.com/memoRankingRead.nhn?oid=022&aid=0003410937&sid1=102&date=2019110211&ntype=MEMORANKING,“조국규탄” vs “광화문탈환”… 광화문서 대학생 단체 맞불 집회
D***0,201903**,F,5,,,      ,          ,,전북,전주시 완산구,교동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/023/0003459277,MBC YG 술자리에... :: 네이버 뉴스
D***0,201903**,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,인천,부평구,십정2동,,LG,SKT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009489929,가을밤 수놓은 서울불꽃축제…시민들 너무 아름다워
D***2,201903**,M,4,,,      ,          ,,경기,의정부시,의정부1동,,,,,경제,,,,,,,경제,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009558073,금융상품 잘못팔면 CEO가 책임…수입의 최대 50% 과징금 물수도(종합)
D***1,201903**,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,광진구,구의3동,,애플,KT,,,사회,,,,,,사회,https://n.news.naver.com/article/025/0002919052,태양의 후예 태... :: 네이버 뉴스
D***5,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,대구,서구,중리동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,SKT,,,,,세계,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=025&aid=0002938705&ntype=RANKING&rc=N,일도 사랑도 잃었다 환갑 앞둔 데미 무어 산전수전 회고록
D***7,201903**,M,5,,,      ,          ,,경기,파주시,문산읍,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003047658,‘집단 성폭행’ 정준영 징역 6년·최종훈 5년…“너무나 당연한 결과”
D***3,201903**,M,3,,,      ,          ,,부산,사상구,모라1동,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/wfootball/news/read.nhn?oid=139&aid=0002111897,"PSG, 당장 네이마르 처분 의사...3,000억 중 얼마나 회수? :: 네이버스포츠"
D***5,201903**,M,4,,,      ,          ,,경기,화성시,반송동,,,,정치,,,,,,,,사회,https://n.news.naver.com/article/421/0003977217,"한선교, 사무처 ... :: 네이버 뉴스"
D***9,201903**,F,4,,,      ,          ,,서울,양천구,목3동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=311&aid=0001001869,"잔루 12개 한화, 마운드 호투 무색한 허무함의 연속 :: 네이버스포츠"
D***6,201903**,M,4,,,      ,          ,,서울,중랑구,상봉1동,,,,,,,,,,,TV연예,스포츠,https://m.entertain.naver.com/read?oid=382&aid=0000736190,"‘런닝맨’ 측, 자막논란에 “의도 無…앞으로 더 주의할 것”[공식입장] :: 네이버 TV연예"
D***7,201903**,M,3,,,      ,          ,,경기,안산시 단원구,초지동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/020/0003209054,한전 “고성·속... :: 네이버 뉴스
D***8,201903**,F,2,,,      ,          ,,강원,원주시,흥업면,,,,,경제,,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=032&aid=0002966110,"아프리카돼지열병 다시 확산하나...파주에서 10번째 발생, 의심 신고도 1건 접수"
D***8,201903**,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,부천시 오정구,삼정동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,KT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011245921,홧김에…만취 상태로 차 몰고 아내 금은방 돌진한 40대
D***6,201903**,F,4,"판매직 (상점점원, 보험설계사, 노점상)",400~499만원,아니오,          ,단독주택,대구,서구,평리4동,,삼성,SKT,정치,,,,,,,,경제,https://m.news.naver.com/memoRankingRead.nhn?oid=469&aid=0000435941&sid1=100&date=20191031&ntype=MEMORANKING,"“모시고 살 순 없었나”…민경욱, 문 대통령 모친상에 글 올렸다 뭇매"
D***6,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,기타 ,서울,구로구,구로5동,,삼성,LG U+,,,,,,,,TV연예,사회,https://m.entertain.naver.com/read?oid=057&aid=0001348371,"이지애·최송현, 오정연 카페 창업 응원 “오사장님처럼 상큼” [M+★SNS] :: 네이버 TV연예"
D***8,201903**,M,4,,,      ,          ,,충북,청주시 상당구,용암2동,,,,,,,,세계,,,,생활,https://n.news.naver.com/article/023/0003459834,발차기로 병뚜껑 ... :: 네이버 뉴스
D***9,201903**,F,5,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,삼성2동,,,휴대전화 사용안함,,,사회,,,,,,사회,https://n.news.naver.com/article/018/0004419660,[갑자기 국내여행... :: 네이버 뉴스
D***5,201903**,F,3,"교직 (교사, 유치원교사, 학원강사)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,수성구,범어4동,,삼성,KT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/basketball/news/read.nhn?oid=468&aid=0000559395,"한국, 8일 코트디부아르와 월드컵최종전...1승 기회 :: 네이버스포츠"
D***1,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,은평구,불광1동,,삼성,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=109&aid=0004064491,"격분한 먹튀 데이비스, 감독과 몸 싸움 직전 창피하다 :: 네이버스포츠"
D***3,201903**,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,울산,남구,야음동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,KT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=241&aid=0002965355,"압도적인 팬 투표 페게로, 오재일 제치고 9월 월간 MVP :: 네이버스포츠"
D***9,201903**,F,2,,,      ,          ,,서울,강남구,논현2동,,,,,,,생활,,,,,사회,https://m.news.naver.com/rankingRead.nhn?oid=018&aid=0004506984&sid1=103&ntype=RANKING,"임세령, 카세트백 들고 이정재와 출국..재벌 패션의 1인자"
D***3,201903**,F,3,,,      ,          ,,경기,김포시,마산동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003033399,부산 사하구 산사태 매몰 2명 사망…2명 야간 수색 중
D***6,201903**,F,5,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,상하동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,KT,,,,,세계,,,,스포츠,https://m.news.naver.com/rankingRead.nhn?oid=001&aid=0011125283&ntype=RANKING&rc=N,스파게티 두접시 56만원 伊음식점 바가지 주장 日고객 고소
D***6,201903**,F,5,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,상하동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,KT,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kfootball/news/read.nhn?oid=436&aid=0000032207,[분석.1st] 수비 먼저에서 공격 먼저로 전환하자마자 패배했다 :: 네이버스포츠
D***2,201903**,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,오피스텔,서울,강남구,논현동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",LG,LG U+,,,,,,,,TV연예,사회,https://m.entertain.naver.com/read?oid=416&aid=0000242763,정가은 복통에 응급실..번개보다 빨리 온 하지영…훈훈한 우정 :: 네이버 TV연예
D***3,201903**,F,2,,,      ,          ,,대구,달서구,성당동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001115344,"성동구, ‘대현산... :: 네이버 뉴스"
D***0,201903**,M,3,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,은평구,구산동,기타 (승합차/트럭/화물차/기타 차량 등),애플,SKT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=214&aid=0000985888,방배동 남부종합시장 화재…부산서 멧돼지 출몰
D***2,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,수성구,매호동,,삼성,KT,,,,,,,,TV연예,TV연예,https://m.entertain.naver.com/read?oid=112&aid=0003155404&cluid=enter_201904192320_00000001,아름다운 세상 서동현 남다름 밀쳤다→조여정 남다름 자살 위장(종합) :: 네이버 TV연예
